match_id,tournament_id,tournament_name,tournament_gender,match_date,stage_name,home_team_id,home_team_name,away_team_id,away_team_name,home_team_score,away_team_score,extra_time,penalty_shootout,result
M-1930-01,WC-1930,1930 FIFA Men's World Cup,men,1930-07-13,group stage,T-30,France,T-46,Mexico,4,1,0,0,home team win
M-1930-02,WC-1930,1930 FIFA Men's World Cup,men,1930-07-13,group stage,T-83,United States,T-06,Belgium,3,0,0,0,home team win
M-1930-03,WC-1930,1930 FIFA Men's World Cup,men,1930-07-14,group stage,T-87,Yugoslavia,T-09,Brazil,2,1,0,0,home team win
M-1930-04,WC-1930,1930 FIFA Men's World Cup,men,1930-07-14,group stage,T-61,Romania,T-56,Peru,3,1,0,0,home team win
M-1930-05,WC-1930,1930 FIFA Men's World Cup,men,1930-07-15,group stage,T-03,Argentina,T-30,France,1,0,0,0,home team win
M-1930-06,WC-1930,1930 FIFA Men's World Cup,men,1930-07-16,group stage,T-13,Chile,T-46,Mexico,3,0,0,0,home team win
M-1930-07,WC-1930,1930 FIFA Men's World Cup,men,1930-07-17,group stage,T-87,Yugoslavia,T-07,Bolivia,4,0,0,0,home team win
M-1930-08,WC-1930,1930 FIFA Men's World Cup,men,1930-07-17,group stage,T-83,United States,T-55,Paraguay,3,0,0,0,home team win
M-1930-09,WC-1930,1930 FIFA Men's World Cup,men,1930-07-18,group stage,T-84,Uruguay,T-56,Peru,1,0,0,0,home team win
M-1930-10,WC-1930,1930 FIFA Men's World Cup,men,1930-07-19,group stage,T-13,Chile,T-30,France,1,0,0,0,home team win
M-1930-11,WC-1930,1930 FIFA Men's World Cup,men,1930-07-19,group stage,T-03,Argentina,T-46,Mexico,6,3,0,0,home team win
M-1930-12,WC-1930,1930 FIFA Men's World Cup,men,1930-07-20,group stage,T-09,Brazil,T-07,Bolivia,4,0,0,0,home team win
M-1930-13,WC-1930,1930 FIFA Men's World Cup,men,1930-07-20,group stage,T-55,Paraguay,T-06,Belgium,1,0,0,0,home team win
M-1930-14,WC-1930,1930 FIFA Men's World Cup,men,1930-07-21,group stage,T-84,Uruguay,T-61,Romania,4,0,0,0,home team win
M-1930-15,WC-1930,1930 FIFA Men's World Cup,men,1930-07-22,group stage,T-03,Argentina,T-13,Chile,3,1,0,0,home team win
M-1930-16,WC-1930,1930 FIFA Men's World Cup,men,1930-07-26,semi-finals,T-03,Argentina,T-83,United States,6,1,0,0,home team win
M-1930-17,WC-1930,1930 FIFA Men's World Cup,men,1930-07-27,semi-finals,T-84,Uruguay,T-87,Yugoslavia,6,1,0,0,home team win
M-1930-18,WC-1930,1930 FIFA Men's World Cup,men,1930-07-30,final,T-84,Uruguay,T-03,Argentina,4,2,0,0,home team win
M-1934-01,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-05,Austria,T-30,France,3,2,1,0,home team win
M-1934-02,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-21,Czechoslovakia,T-61,Romania,2,1,0,0,home team win
M-1934-03,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-31,Germany,T-06,Belgium,5,2,0,0,home team win
M-1934-04,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-36,Hungary,T-26,Egypt,4,2,0,0,home team win
M-1934-05,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-41,Italy,T-83,United States,7,1,0,0,home team win
M-1934-06,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-73,Spain,T-09,Brazil,3,1,0,0,home team win
M-1934-07,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-74,Sweden,T-03,Argentina,3,2,0,0,home team win
M-1934-08,WC-1934,1934 FIFA Men's World Cup,men,1934-05-27,round of 16,T-75,Switzerland,T-48,Netherlands,3,2,0,0,home team win
M-1934-09,WC-1934,1934 FIFA Men's World Cup,men,1934-05-31,quarter-finals,T-05,Austria,T-36,Hungary,2,1,0,0,home team win
M-1934-10,WC-1934,1934 FIFA Men's World Cup,men,1934-05-31,quarter-finals,T-21,Czechoslovakia,T-75,Switzerland,3,2,0,0,home team win
M-1934-11,WC-1934,1934 FIFA Men's World Cup,men,1934-05-31,quarter-finals,T-31,Germany,T-74,Sweden,2,1,0,0,home team win
M-1934-12,WC-1934,1934 FIFA Men's World Cup,men,1934-05-31,quarter-finals,T-41,Italy,T-73,Spain,1,1,1,0,draw
M-1934-13,WC-1934,1934 FIFA Men's World Cup,men,1934-06-01,quarter-finals,T-41,Italy,T-73,Spain,1,0,0,0,home team win
M-1934-14,WC-1934,1934 FIFA Men's World Cup,men,1934-06-03,semi-finals,T-21,Czechoslovakia,T-31,Germany,3,1,0,0,home team win
M-1934-15,WC-1934,1934 FIFA Men's World Cup,men,1934-06-03,semi-finals,T-41,Italy,T-05,Austria,1,0,0,0,home team win
M-1934-16,WC-1934,1934 FIFA Men's World Cup,men,1934-06-07,third-place match,T-31,Germany,T-05,Austria,3,2,0,0,home team win
M-1934-17,WC-1934,1934 FIFA Men's World Cup,men,1934-06-10,final,T-41,Italy,T-21,Czechoslovakia,2,1,1,0,home team win
M-1938-01,WC-1938,1938 FIFA Men's World Cup,men,1938-06-04,round of 16,T-75,Switzerland,T-31,Germany,1,1,1,0,draw
M-1938-02,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-19,Cuba,T-61,Romania,3,3,1,0,draw
M-1938-03,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-30,France,T-06,Belgium,3,1,0,0,home team win
M-1938-04,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-36,Hungary,T-23,Dutch East Indies,6,0,0,0,home team win
M-1938-05,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-41,Italy,T-53,Norway,2,1,1,0,home team win
M-1938-06,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-09,Brazil,T-57,Poland,6,5,1,0,home team win
M-1938-07,WC-1938,1938 FIFA Men's World Cup,men,1938-06-05,round of 16,T-21,Czechoslovakia,T-48,Netherlands,3,0,1,0,home team win
M-1938-08,WC-1938,1938 FIFA Men's World Cup,men,1938-06-09,round of 16,T-19,Cuba,T-61,Romania,2,1,0,0,home team win
M-1938-09,WC-1938,1938 FIFA Men's World Cup,men,1938-06-09,round of 16,T-75,Switzerland,T-31,Germany,4,2,0,0,home team win
M-1938-10,WC-1938,1938 FIFA Men's World Cup,men,1938-06-12,quarter-finals,T-09,Brazil,T-21,Czechoslovakia,1,1,1,0,draw
M-1938-11,WC-1938,1938 FIFA Men's World Cup,men,1938-06-12,quarter-finals,T-36,Hungary,T-75,Switzerland,2,0,0,0,home team win
M-1938-12,WC-1938,1938 FIFA Men's World Cup,men,1938-06-12,quarter-finals,T-41,Italy,T-30,France,3,1,0,0,home team win
M-1938-13,WC-1938,1938 FIFA Men's World Cup,men,1938-06-12,quarter-finals,T-74,Sweden,T-19,Cuba,8,0,0,0,home team win
M-1938-14,WC-1938,1938 FIFA Men's World Cup,men,1938-06-14,quarter-finals,T-09,Brazil,T-21,Czechoslovakia,2,1,0,0,home team win
