tournament_id,tournament_name,tournament_gender,position,team_id,team_name,team_code
WC-1930,1930 FIFA Men's World Cup,men,1,T-84,Uruguay,URY
WC-1930,1930 FIFA Men's World Cup,men,2,T-03,Argentina,ARG
WC-1930,1930 FIFA Men's World Cup,men,3,T-83,United States,USA
WC-1930,1930 FIFA Men's World Cup,men,4,T-87,Yugoslavia,YUG
WC-1934,1934 FIFA Men's World Cup,men,1,T-41,Italy,ITA
WC-1934,1934 FIFA Men's World Cup,men,2,T-21,Czechoslovakia,CSK
WC-1934,1934 FIFA Men's World Cup,men,3,T-31,Germany,DEU
WC-1934,1934 FIFA Men's World Cup,men,4,T-05,Austria,AUT
WC-1938,1938 FIFA Men's World Cup,men,1,T-41,Italy,ITA
WC-1938,1938 FIFA Men's World Cup,men,2,T-36,Hungary,HUN
WC-1938,1938 FIFA Men's World Cup,men,3,T-09,Brazil,BRA
WC-1938,1938 FIFA Men's World Cup,men,4,T-74,Sweden,SWE
WC-1950,1950 FIFA Men's World Cup,men,1,T-84,Uruguay,URY
WC-1950,1950 FIFA Men's World Cup,men,2,T-09,Brazil,BRA
WC-1950,1950 FIFA Men's World Cup,men,3,T-74,Sweden,SWE
WC-1950,1950 FIFA Men's World Cup,men,4,T-73,Spain,ESP
WC-1954,1954 FIFA Men's World Cup,men,1,T-86,West Germany,DEU
WC-1954,1954 FIFA Men's World Cup,men,2,T-36,Hungary,HUN
WC-1954,1954 FIFA Men's World Cup,men,3,T-05,Austria,AUT
WC-1954,1954 FIFA Men's World Cup,men,4,T-84,Uruguay,URY
WC-1958,1958 FIFA Men's World Cup,men,1,T-09,Brazil,BRA
WC-1958,1958 FIFA Men's World Cup,men,2,T-74,Sweden,SWE
WC-1958,1958 FIFA Men's World Cup,men,3,T-30,France,FRA
WC-1958,1958 FIFA Men's World Cup,men,4,T-86,West Germany,DEU
WC-1962,1962 FIFA Men's World Cup,men,1,T-09,Brazil,BRA
