tournament_id,tournament_name,year,tournament_gender,start_date,end_date,host_country,winner,count_teams
WC-1930,1930 FIFA Men's World Cup,1930,men,1930-07-13,1930-07-30,Uruguay,Uruguay,13
WC-1934,1934 FIFA Men's World Cup,1934,men,1934-05-27,1934-06-10,Italy,Italy,16
WC-1938,1938 FIFA Men's World Cup,1938,men,1938-06-04,1938-06-19,France,Italy,15
WC-1950,1950 FIFA Men's World Cup,1950,men,1950-06-24,1950-07-16,Brazil,Uruguay,13
WC-1954,1954 FIFA Men's World Cup,1954,men,1954-06-16,1954-07-04,Switzerland,West Germany,16
WC-1958,1958 FIFA Men's World Cup,1958,men,1958-06-08,1958-06-29,Sweden,Brazil,16
WC-1962,1962 FIFA Men's World Cup,1962,men,1962-05-30,1962-07-17,Chile,Brazil,16
WC-1966,1966 FIFA Men's World Cup,1966,men,1966-07-11,1966-07-30,England,England,16
WC-1970,1970 FIFA Men's World Cup,1970,men,1970-05-31,1970-06-21,Mexico,Brazil,16
WC-1974,1974 FIFA Men's World Cup,1974,men,1974-06-13,1974-07-07,West Germany,West Germany,16
WC-1978,1978 FIFA Men's World Cup,1978,men,1978-06-01,1978-06-25,Argentina,Argentina,16
WC-1982,1982 FIFA Men's World Cup,1982,men,1982-06-13,1982-07-11,Spain,Italy,24
WC-1986,1986 FIFA Men's World Cup,1986,men,1986-05-31,1986-06-29,Mexico,Argentina,24
WC-1990,1990 FIFA Men's World Cup,1990,men,1990-06-08,1990-07-08,Italy,West Germany,24
WC-1991,1991 FIFA Women's World Cup,1991,women,1991-11-16,1991-11-30,China,United States,12
WC-1994,1994 FIFA Men's World Cup,1994,men,1994-06-17,1994-07-17,United States,Brazil,24
WC-1995,1995 FIFA Women's World Cup,1995,women,1995-06-05,1995-06-18,Sweden,Norway,12
WC-1998,1998 FIFA Men's World Cup,1998,men,1998-06-10,1998-07-12,France,France,32
WC-1999,1999 FIFA Women's World Cup,1999,women,1999-06-19,1999-07-10,United States,United States,16
WC-2002,2002 FIFA Men's World Cup,2002,men,2002-05-31,2002-06-30,"Korea, Japan",Brazil,32
WC-2003,2003 FIFA Women's World Cup,2003,women,2003-09-20,2003-10-12,United States,Germany,16
WC-2006,2006 FIFA Men's World Cup,2006,men,2006-06-09,2006-07-09,Germany,Italy,32
WC-2007,2007 FIFA Women's World Cup,2007,women,2007-09-10,2007-09-30,China,Germany,16
WC-2010,2010 FIFA Men's World Cup,2010,men,2010-06-11,2010-07-11,South Africa,Spain,32
WC-2011,2011 FIFA Women's World Cup,2011,women,2011-06-26,2011-07-17,Germany,Japan,16
WC-2014,2014 FIFA Men's World Cup,2014,men,2014-06-12,2014-07-13,Brazil,Germany,32
WC-2015,2015 FIFA Women's World Cup,2015,women,2015-06-06,2015-07-05,Canada,United States,24
WC-2018,2018 FIFA Men's World Cup,2018,men,2018-06-14,2018-07-15,Russia,France,32
WC-2019,2019 FIFA Women's World Cup,2019,women,2019-06-07,2019-07-07,France,United States,24
WC-2022,2022 FIFA Men's World Cup,2022,men,2022-11-20,2022-12-18,Qatar,Argentina,32
