normalized_appearances_rank,team_name,normalized_appearances,unnormalized_rank_by_same_name,titles,finals_appearances,semi_final_appearances,historical_strength_score
1,Brazil,22,1,5,7,11,91.86
2,Germany,20,15,4,8,13,88.34
3,Argentina,18,2,3,6,6,66.81
4,Italy,18,3,4,6,8,74.2
5,Mexico,17,4,0,0,0,26.01
6,England,16,5,1,1,3,37.1
7,France,16,6,2,4,7,55.24
8,Spain,16,7,1,1,2,36.25
9,Belgium,14,8,0,0,2,25.52
10,Uruguay,14,9,2,2,5,44.1
11,Serbia,13,55,0,0,2,23.71
12,Sweden,12,10,0,1,4,27.21
13,Switzerland,12,11,0,0,0,19.78
14,Netherlands,11,12,0,3,5,33.72
15,Russia,11,45,0,0,1,20.38
16,South Korea,11,13,0,0,1,18
17,United States,11,14,0,0,1,18.59
18,Chile,9,17,0,0,1,16.76
19,Hungary,9,18,0,2,2,24.27
20,Poland,9,19,0,0,2,19.05
21,Cameroon,8,21,0,0,0,12.83
22,Czechoslovakia,8,22,0,2,2,21.88
23,Paraguay,8,23,0,0,0,13.5
24,Portugal,8,24,0,0,2,18.07
25,Scotland,8,25,0,0,0,12.65
26,Austria,7,26,0,0,2,15.99
27,Bulgaria,7,27,0,0,1,11.85
28,Japan,7,28,0,0,0,12.35
29,Romania,7,29,0,0,0,13.36
30,Australia,6,31,0,0,0,10.18
31,Colombia,6,32,0,0,0,12.27
32,Costa Rica,6,33,0,0,0,11.04
33,Croatia,6,34,0,1,3,18.48
34,Denmark,6,35,0,0,0,12.09
35,Iran,6,36,0,0,0,9.85
36,Morocco,6,37,0,0,1,11.51
37,Nigeria,6,38,0,0,0,11.04
38,Saudi Arabia,6,39,0,0,0,10.29
39,Tunisia,6,40,0,0,0,9.85
40,Peru,5,41,0,0,0,9.6
41,Algeria,4,42,0,0,0,7.76
42,Ecuador,4,43,0,0,0,9.3
43,Ghana,4,44,0,0,0,8.79
44,Bolivia,3,46,0,0,0,4.09
45,Egypt,3,47,0,0,0,4.09
46,Greece,3,48,0,0,0,6.09
47,Honduras,3,49,0,0,0,4.09
48,Ivory Coast,3,50,0,0,0,7.42
49,Northern Ireland,3,51,0,0,0,6.4
50,Norway,3,52,0,0,0,6.59
51,Republic of Ireland,3,53,0,0,0,5.63
52,Senegal,3,54,0,0,0,8.26
53,South Africa,3,56,0,0,0,6.31
54,Canada,2,57,0,0,0,2.73
55,El Salvador,2,58,0,0,0,2.73
56,New Zealand,2,59,0,0,0,2.73
57,North Korea,2,60,0,0,0,4.16
58,Slovenia,2,61,0,0,0,4.39
59,Turkey,2,62,0,0,1,8.88
60,Wales,2,63,0,0,0,3.98
61,Angola,1,64,0,0,0,1.36
62,Bosnia and Herzegovina,1,65,0,0,0,4.7
63,China,1,66,0,0,0,1.36
64,Cuba,1,67,0,0,0,4.7
65,Czech Republic,1,68,0,0,0,4.7
66,DR Congo,1,,0,0,0,1.36
67,Dutch East Indies,1,69,0,0,0,1.36
68,East Germany,1,70,0,0,0,4.7
69,Haiti,1,71,0,0,0,1.36
70,Iceland,1,72,0,0,0,1.36
71,Iraq,1,73,0,0,0,1.36
72,Israel,1,74,0,0,0,1.36
73,Jamaica,1,75,0,0,0,4.7
74,Kuwait,1,76,0,0,0,1.36
75,Panama,1,77,0,0,0,1.36
76,Qatar,1,78,0,0,0,1.36
77,Slovakia,1,80,0,0,0,3.87
78,Togo,1,81,0,0,0,1.36
79,Trinidad and Tobago,1,82,0,0,0,1.36
80,Ukraine,1,83,0,0,0,5.37
81,United Arab Emirates,1,84,0,0,0,1.36
