team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
N-BRA,Brazil,BRA,CONMEBOL,men,22,5,7,11,1,position 1,7.41,114,76,237,108,66.67,10.77,4.91,2.079,0.947,100,100,87.5,84.62,66.67,91.86
N-DEU,Germany,DEU,UEFA,men,20,4,8,13,1,position 1,6.4,112,68,232,130,60.71,11.6,6.5,2.071,1.161,90.91,80,100,100,60.71,88.34
N-ARG,Argentina,ARG,CONMEBOL,men,18,3,6,6,1,position 1,10.28,88,47,152,101,53.41,8.44,5.61,1.727,1.148,81.82,60,75,46.15,53.41,66.81
N-ITA,Italy,ITA,UEFA,men,18,4,6,8,1,position 1,12.39,83,45,128,77,54.22,7.11,4.28,1.542,0.928,81.82,80,75,61.54,54.22,74.2
N-MEX,Mexico,MEX,CONCACAF,men,17,0,0,0,8,quarter-finals,18.82,60,17,62,101,28.33,3.65,5.94,1.033,1.683,77.27,0,0,0,28.33,26.01
N-ENG,England,ENG,UEFA,men,16,1,1,3,1,position 1,11.31,74,32,104,68,43.24,6.5,4.25,1.405,0.919,72.73,20,12.5,23.08,43.24,37.1
N-FRA,France,FRA,UEFA,men,16,2,4,7,1,position 1,12,73,39,136,85,53.42,8.5,5.31,1.863,1.164,72.73,40,50,53.85,53.42,55.24
N-ESP,Spain,ESP,UEFA,men,16,1,1,2,1,position 1,14.56,67,31,108,75,46.27,6.75,4.69,1.612,1.119,72.73,20,12.5,15.38,46.27,36.25
N-BEL,Belgium,BEL,UEFA,men,14,0,0,2,3,position 3,16.21,51,21,69,74,41.18,4.93,5.29,1.353,1.451,63.64,0,0,15.38,41.18,25.52
N-URY,Uruguay,URY,CONMEBOL,men,14,2,2,5,1,position 1,12.43,59,25,89,76,42.37,6.36,5.43,1.508,1.288,63.64,40,25,38.46,42.37,44.1
N-SRB,Serbia,SRB,UEFA,men,13,0,0,2,4,position 4,15.69,49,18,71,71,36.73,5.46,5.46,1.449,1.449,59.09,0,0,15.38,36.73,23.71
N-SWE,Sweden,SWE,UEFA,men,12,0,1,4,2,position 2,12,51,19,80,73,37.25,6.67,6.08,1.569,1.431,54.55,0,12.5,30.77,37.25,27.21
N-CHE,Switzerland,CHE,UEFA,men,12,0,0,0,8,quarter-finals,16.67,41,14,55,73,34.15,4.58,6.08,1.341,1.78,54.55,0,0,0,34.15,19.78
