team_id,team_name,team_code,confederation_code,tournament_gender,world_cup_appearances,titles,finals_appearances,semi_final_appearances,best_finish_position,best_finish_label,average_finish_position_estimate,total_matches_played,total_wins,goals_scored,goals_conceded,win_rate,goals_scored_per_tournament,goals_conceded_per_tournament,goals_scored_per_match,goals_conceded_per_match,appearances_score,titles_score,finals_score,semi_finals_score,win_rate_score,historical_strength_score
T-09,Brazil,BRA,CONMEBOL,men,22,5,7,11,1,position 1,7.41,114,76,237,108,66.67,10.77,4.91,2.079,0.947,100,100,100,100,66.67,96.67
T-03,Argentina,ARG,CONMEBOL,men,18,3,6,6,1,position 1,10.28,88,47,152,101,53.41,8.44,5.61,1.727,1.148,81.82,60,85.71,54.55,53.41,70.21
T-41,Italy,ITA,UEFA,men,18,4,6,8,1,position 1,12.39,83,45,128,77,54.22,7.11,4.28,1.542,0.928,81.82,80,85.71,72.73,54.22,78.02
T-46,Mexico,MEX,CONCACAF,men,17,0,0,0,8,quarter-finals,18.82,60,17,62,101,28.33,3.65,5.94,1.033,1.683,77.27,0,0,0,28.33,26.01
T-28,England,ENG,UEFA,men,16,1,1,3,1,position 1,11.31,74,32,104,68,43.24,6.5,4.25,1.405,0.919,72.73,20,14.29,27.27,43.24,38.09
T-30,France,FRA,UEFA,men,16,2,4,7,1,position 1,12,73,39,136,85,53.42,8.5,5.31,1.863,1.164,72.73,40,57.14,63.64,53.42,58.13
T-73,Spain,ESP,UEFA,men,16,1,1,2,1,position 1,14.56,67,31,108,75,46.27,6.75,4.69,1.612,1.119,72.73,20,14.29,18.18,46.27,37.03
T-06,Belgium,BEL,UEFA,men,14,0,0,2,3,position 3,16.21,51,21,69,74,41.18,4.93,5.29,1.353,1.451,63.64,0,0,18.18,41.18,25.94
T-84,Uruguay,URY,CONMEBOL,men,14,2,2,5,1,position 1,12.43,59,25,89,76,42.37,6.36,5.43,1.508,1.288,63.64,40,28.57,45.45,42.37,45.86
T-74,Sweden,SWE,UEFA,men,12,0,1,4,2,position 2,12,51,19,80,73,37.25,6.67,6.08,1.569,1.431,54.55,0,14.29,36.36,37.25,28.4
T-75,Switzerland,CHE,UEFA,men,12,0,0,0,8,quarter-finals,16.67,41,14,55,73,34.15,4.58,6.08,1.341,1.78,54.55,0,0,0,34.15,19.78
T-48,Netherlands,NLD,UEFA,men,11,0,3,5,2,position 2,8.45,55,30,96,52,54.55,8.73,4.73,1.745,0.945,50,0,42.86,45.45,54.55,35.84
T-71,South Korea,KOR,AFC,men,11,0,0,1,4,position 4,20.73,38,7,39,78,18.42,3.55,7.09,1.026,2.053,50,0,0,9.09,18.42,18.21
T-83,United States,USA,CONCACAF,men,11,0,0,1,3,position 3,17,37,9,40,66,24.32,3.64,6,1.081,1.784,50,0,0,9.09,24.32,18.8
T-31,Germany,DEU,UEFA,men,10,1,2,5,1,position 1,9.2,50,32,101,53,64,10.1,5.3,2.02,1.06,45.45,20,28.57,45.45,64,37.57
T-86,West Germany,DEU,UEFA,men,10,3,6,8,1,position 1,3.6,62,36,131,77,58.06,13.1,7.7,2.113,1.242,45.45,60,85.71,72.73,58.06,62.49
T-13,Chile,CHL,CONMEBOL,men,9,0,0,1,3,position 3,19,33,11,40,49,33.33,4.44,5.44,1.212,1.485,40.91,0,0,9.09,33.33,16.97
T-36,Hungary,HUN,UEFA,men,9,0,2,2,2,position 2,13.78,32,15,87,57,46.88,9.67,6.33,2.719,1.781,40.91,0,28.57,18.18,46.88,25.4
T-57,Poland,POL,UEFA,men,9,0,0,2,3,position 3,15.33,38,17,49,50,44.74,5.44,5.56,1.289,1.316,40.91,0,0,18.18,44.74,19.47
T-87,Yugoslavia,YUG,UEFA,men,9,0,0,2,4,position 4,12,37,16,60,46,43.24,6.67,5.11,1.622,1.243,40.91,0,0,18.18,43.24,19.32
T-11,Cameroon,CMR,CAF,men,8,0,0,0,8,quarter-finals,22,26,5,22,47,19.23,2.75,5.88,0.846,1.808,36.36,0,0,0,19.23,12.83
T-21,Czechoslovakia,CSK,UEFA,men,8,0,2,2,2,position 2,14.5,30,11,44,45,36.67,5.5,5.63,1.467,1.5,36.36,0,28.57,18.18,36.67,23.02
T-55,Paraguay,PRY,CONMEBOL,men,8,0,0,0,8,quarter-finals,19,27,7,30,38,25.93,3.75,4.75,1.111,1.407,36.36,0,0,0,25.93,13.5
T-58,Portugal,PRT,UEFA,men,8,0,0,2,3,position 3,14.88,35,17,61,41,48.57,7.63,5.13,1.743,1.171,36.36,0,0,18.18,48.57,18.49
T-64,Scotland,SCO,UEFA,men,8,0,0,0,24,group stage,24,23,4,25,41,17.39,3.13,5.13,1.087,1.783,36.36,0,0,0,17.39,12.65
