tournament_id,tournament_name,year,tournament_gender,original_team_id,original_team_name,original_team_code,team_id,team_name,team_code,confederation_code,matches_played,wins,goals_scored,goals_conceded,goals_scored_per_match,goals_conceded_per_match,result_position,performance,finish_position_estimate,title,final_appearance,semi_final_appearance
WC-1930,1930 FIFA Men's World Cup,1930,men,T-03,Argentina,ARG,N-ARG,Argentina,ARG,CONMEBOL,5,4,18,9,3.6,1.8,2,final,2,0,1,1
WC-1930,1930 FIFA Men's World Cup,1930,men,T-06,Belgium,BEL,N-BEL,Belgium,BEL,UEFA,2,0,0,4,0,2,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-07,Bolivia,BOL,N-BOL,Bolivia,BOL,CONMEBOL,2,0,0,8,0,4,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-09,Brazil,BRA,N-BRA,Brazil,BRA,CONMEBOL,2,1,5,2,2.5,1,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-13,Chile,CHL,N-CHL,Chile,CHL,CONMEBOL,3,2,5,3,1.667,1,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-30,France,FRA,N-FRA,France,FRA,UEFA,3,1,4,3,1.333,1,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-46,Mexico,MEX,N-MEX,Mexico,MEX,CONCACAF,3,0,4,13,1.333,4.333,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-55,Paraguay,PRY,N-PRY,Paraguay,PRY,CONMEBOL,2,1,1,3,0.5,1.5,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-56,Peru,PER,N-PER,Peru,PER,CONMEBOL,2,0,1,4,0.5,2,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-61,Romania,ROU,N-ROU,Romania,ROU,UEFA,2,1,3,5,1.5,2.5,,group stage,24,0,0,0
WC-1930,1930 FIFA Men's World Cup,1930,men,T-83,United States,USA,N-USA,United States,USA,CONCACAF,3,2,7,6,2.333,2,3,semi-finals,3,0,0,1
WC-1930,1930 FIFA Men's World Cup,1930,men,T-84,Uruguay,URY,N-URY,Uruguay,URY,CONMEBOL,4,4,15,3,3.75,0.75,1,final,1,1,1,1
WC-1930,1930 FIFA Men's World Cup,1930,men,T-87,Yugoslavia,YUG,N-SRB,Serbia,SRB,UEFA,3,2,7,7,2.333,2.333,4,semi-finals,4,0,0,1
WC-1934,1934 FIFA Men's World Cup,1934,men,T-03,Argentina,ARG,N-ARG,Argentina,ARG,CONMEBOL,1,0,2,3,2,3,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-05,Austria,AUT,N-AUT,Austria,AUT,UEFA,4,2,7,7,1.75,1.75,4,third-place match,4,0,0,1
WC-1934,1934 FIFA Men's World Cup,1934,men,T-06,Belgium,BEL,N-BEL,Belgium,BEL,UEFA,1,0,2,5,2,5,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-09,Brazil,BRA,N-BRA,Brazil,BRA,CONMEBOL,1,0,1,3,1,3,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-21,Czechoslovakia,CSK,N-CSK,Czechoslovakia,CSK,UEFA,4,3,9,6,2.25,1.5,2,final,2,0,1,1
WC-1934,1934 FIFA Men's World Cup,1934,men,T-26,Egypt,EGY,N-EGY,Egypt,EGY,CAF,1,0,2,4,2,4,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-30,France,FRA,N-FRA,France,FRA,UEFA,1,0,2,3,2,3,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-31,Germany,DEU,N-DEU,Germany,DEU,UEFA,4,3,11,8,2.75,2,3,third-place match,3,0,0,1
WC-1934,1934 FIFA Men's World Cup,1934,men,T-36,Hungary,HUN,N-HUN,Hungary,HUN,UEFA,2,1,5,4,2.5,2,,quarter-finals,8,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-41,Italy,ITA,N-ITA,Italy,ITA,UEFA,5,4,12,3,2.4,0.6,1,final,1,1,1,1
WC-1934,1934 FIFA Men's World Cup,1934,men,T-48,Netherlands,NLD,N-NLD,Netherlands,NLD,UEFA,1,0,2,3,2,3,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-61,Romania,ROU,N-ROU,Romania,ROU,UEFA,1,0,1,2,1,2,,round of 16,16,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-73,Spain,ESP,N-ESP,Spain,ESP,UEFA,3,1,4,3,1.333,1,,quarter-finals,8,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-74,Sweden,SWE,N-SWE,Sweden,SWE,UEFA,2,1,4,4,2,2,,quarter-finals,8,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-75,Switzerland,CHE,N-CHE,Switzerland,CHE,UEFA,2,1,5,5,2.5,2.5,,quarter-finals,8,0,0,0
WC-1934,1934 FIFA Men's World Cup,1934,men,T-83,United States,USA,N-USA,United States,USA,CONCACAF,1,0,1,7,1,7,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-06,Belgium,BEL,N-BEL,Belgium,BEL,UEFA,1,0,1,3,1,3,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-09,Brazil,BRA,N-BRA,Brazil,BRA,CONMEBOL,5,3,14,11,2.8,2.2,3,third-place match,3,0,0,1
WC-1938,1938 FIFA Men's World Cup,1938,men,T-19,Cuba,CUB,N-CUB,Cuba,CUB,CONCACAF,3,1,5,12,1.667,4,,quarter-finals,8,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-21,Czechoslovakia,CSK,N-CSK,Czechoslovakia,CSK,UEFA,3,1,5,3,1.667,1,,quarter-finals,8,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-23,Dutch East Indies,IDN,N-IDN,Dutch East Indies,IDN,AFC,1,0,0,6,0,6,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-30,France,FRA,N-FRA,France,FRA,UEFA,2,1,4,4,2,2,,quarter-finals,8,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-31,Germany,DEU,N-DEU,Germany,DEU,UEFA,2,0,3,5,1.5,2.5,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-36,Hungary,HUN,N-HUN,Hungary,HUN,UEFA,4,3,15,5,3.75,1.25,2,final,2,0,1,1
WC-1938,1938 FIFA Men's World Cup,1938,men,T-41,Italy,ITA,N-ITA,Italy,ITA,UEFA,4,4,11,5,2.75,1.25,1,final,1,1,1,1
WC-1938,1938 FIFA Men's World Cup,1938,men,T-48,Netherlands,NLD,N-NLD,Netherlands,NLD,UEFA,1,0,0,3,0,3,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-53,Norway,NOR,N-NOR,Norway,NOR,UEFA,1,0,1,2,1,2,,round of 16,16,0,0,0
WC-1938,1938 FIFA Men's World Cup,1938,men,T-57,Poland,POL,N-POL,Poland,POL,UEFA,1,0,5,6,5,6,,round of 16,16,0,0,0
