team,old_win_rate,new_win_rate,expected_win_rate,validation_status,notes
Brazil,69.3,66.67,66.67,pass,"Passes benchmark win-rate convention."
Germany,64.29,60.71,60.71,pass,"Passes benchmark win-rate convention."
Italy,55.42,54.22,54.22,pass,"Passes benchmark win-rate convention."
Argentina,60.23,53.41,53.41,pass,"Passes benchmark win-rate convention."
France,56.16,53.42,53.42,pass,"Passes benchmark win-rate convention."
Uruguay,44.07,42.37,42.37,pass,"Passes benchmark win-rate convention."
England,44.59,43.24,43.24,pass,"Passes benchmark win-rate convention."
Spain,47.76,46.27,46.27,pass,"Passes benchmark win-rate convention."
Netherlands,56.36,54.55,54.55,pass,"Passes benchmark win-rate convention."
Sweden,39.22,37.25,37.25,pass,"Passes benchmark win-rate convention."
Mexico,28.33,28.33,28.33,pass,"Passes benchmark win-rate convention."
Belgium,43.14,41.18,41.18,pass,"Passes benchmark win-rate convention."
Hungary,46.88,46.88,46.88,pass,"Passes benchmark win-rate convention."
Serbia,36.73,36.73,36.73,pass,"Passes benchmark win-rate convention."
Czechoslovakia,36.67,36.67,39.29,review,"Still differs; source-level match/team-scope audit remains open."
Russia,44.44,42.22,42.22,pass,"Passes benchmark win-rate convention."
Croatia,56.67,43.33,43.33,pass,"Passes benchmark win-rate convention."
Switzerland,34.15,34.15,34.15,pass,"Passes benchmark win-rate convention."
Poland,44.74,44.74,44.74,pass,"Passes benchmark win-rate convention."
United States,24.32,24.32,24.32,pass,"Passes benchmark win-rate convention."
